image_file,ber,trial,num_bit_flips,bpp,psnr,niqe,lpips,error
1.png,0,0,0,0.522979736328125,28.41784058714016,4.5064830041867525,0.14919808506965637,
2.png,0,0,0,0.47259521484375,34.30819789526152,4.420470071869201,0.12779149413108826,
3.png,0,0,0,0.498046875,39.044522074389555,5.243448748583766,0.06878356635570526,
4.png,0,0,0,0.5084228515625,35.61212960372204,3.0928233393104603,0.12982426583766937,
5.png,0,0,0,0.483673095703125,27.036034437735562,3.4155414535401056,0.11302882432937622,
6.png,0,0,0,0.533721923828125,31.847723503807334,3.728781491813303,0.14697515964508057,
7.png,0,0,0,0.505279541015625,36.68124681631789,4.411741218105522,0.039268553256988525,
8.png,0,0,0,0.52947998046875,28.08951349268564,4.320755824775691,0.10333321988582611,
9.png,0,0,0,0.47900390625,37.8928258421073,4.545954897200076,0.11626467108726501,
10.png,0,0,0,0.474273681640625,36.90784051431954,4.083622812200383,0.12668254971504211,
11.png,0,0,0,0.510223388671875,31.663091070759265,3.1930672696579854,0.15514957904815674,
12.png,0,0,0,0.525543212890625,36.869695994697324,3.721183015815956,0.0966593474149704,
13.png,0,0,0,0.500244140625,25.43422078733991,3.0529320990807167,0.3468573987483978,
14.png,0,0,0,0.52239990234375,29.34918895548353,2.758060743389678,0.18515826761722565,
15.png,0,0,0,0.5068359375,33.80981765773454,4.225025032011588,0.14235389232635498,
16.png,0,0,0,0.487274169921875,34.97140813552227,4.245726680737218,0.13943354785442352,
17.png,0,0,0,0.476776123046875,33.88436357809738,3.530382325603989,0.14061422646045685,
18.png,0,0,0,0.49072265625,29.746822632106834,3.1719343611273136,0.1973261684179306,
19.png,0,0,0,0.51116943359375,33.678266964397245,4.002887369982488,0.13643498718738556,
20.png,0,0,0,0.497772216796875,36.74117251444199,3.748537506765637,0.04102436453104019,
21.png,0,0,0,0.52191162109375,32.1508326926995,3.0810993840436574,0.18132425844669342,
22.png,0,0,0,0.51629638671875,32.80844163293231,2.966238304173106,0.13857245445251465,
23.png,0,0,0,0.49359130859375,37.28744805482089,4.787068992060457,0.09146063774824142,
24.png,0,0,0,0.494537353515625,30.63397290994353,4.389356090139761,0.1476944386959076,
1.png,1e-06,0,1,0.522979736328125,12.084526329182136,7.6861555236025865,0.5983971953392029,
2.png,1e-06,0,0,0.47259521484375,34.30819789526152,4.420470071869201,0.12779149413108826,
3.png,1e-06,0,0,0.498046875,39.044522074389555,5.243448748583766,0.06878356635570526,
4.png,1e-06,0,0,0.5084228515625,35.61212960372204,3.0928233393104603,0.12982426583766937,
5.png,1e-06,0,0,0.483673095703125,27.036034437735562,3.4155414535401056,0.11302882432937622,
6.png,1e-06,0,0,0.533721923828125,31.847723503807334,3.728781491813303,0.14697515964508057,
7.png,1e-06,0,0,0.505279541015625,36.68124681631789,4.411741218105522,0.039268553256988525,
8.png,1e-06,0,0,0.52947998046875,28.08951349268564,4.320755824775691,0.10333321988582611,
9.png,1e-06,0,0,0.47900390625,37.8928258421073,4.545954897200076,0.11626467108726501,
10.png,1e-06,0,1,0.474273681640625,17.32321650547394,4.9161222905744495,0.42272162437438965,
11.png,1e-06,0,0,0.510223388671875,31.663091070759265,3.1930672696579854,0.15514957904815674,
12.png,1e-06,0,1,0.525543212890625,14.835128401676181,3.4618233871398485,0.3916008472442627,
13.png,1e-06,0,0,0.500244140625,25.43422078733991,3.0529320990807167,0.3468573987483978,
14.png,1e-06,0,0,0.52239990234375,29.34918895548353,2.758060743389678,0.18515826761722565,
15.png,1e-06,0,0,0.5068359375,33.80981765773454,4.225025032011588,0.14235389232635498,
