image_file,ber,trial,num_bit_flips,bpp,psnr,niqe,lpips,error
1.png,0,0,0,0.11053466796875,21.53536887714334,3.65815135083376,0.1662185937166214,
2.png,0,0,0,0.11053466796875,26.238193951266496,3.3268988386274634,0.14282147586345673,
3.png,0,0,0,0.11053466796875,28.75320778786628,4.799138931924658,0.06894783675670624,
4.png,0,0,0,0.11053466796875,27.283056740011244,3.574641361734898,0.1086709052324295,
5.png,0,0,0,0.11053466796875,19.207736487636126,3.906130744236781,0.1576967090368271,
6.png,0,0,0,0.11053466796875,22.49880820462465,3.279109700186587,0.13509540259838104,
7.png,0,0,0,0.11053466796875,26.083274617517127,4.2861931324071865,0.07428762316703796,
8.png,0,0,0,0.11053466796875,19.33204365161267,3.5525241600118225,0.1254713386297226,
9.png,0,0,0,0.11053466796875,26.382094294594907,5.1759685661066435,0.06988231837749481,
10.png,0,0,0,0.11053466796875,26.405881637202057,4.611962688312539,0.09046667814254761,
11.png,0,0,0,0.11053466796875,22.395419359438975,2.6170691428882993,0.15334324538707733,
12.png,0,0,0,0.11053466796875,26.93103248082275,3.8322047714678122,0.10592955350875854,
13.png,0,0,0,0.11053466796875,18.314255101401244,2.5053792899957457,0.2760869860649109,
14.png,0,0,0,0.11053466796875,21.01750424448901,2.757902163053209,0.1818617731332779,
15.png,0,0,0,0.11053466796875,25.612706816392723,3.442548177319699,0.11453422158956528,
16.png,0,0,0,0.11053466796875,25.714917105140735,3.664283360124985,0.11997811496257782,
17.png,0,0,0,0.11053466796875,23.862372137589347,3.163720918344364,0.15324345231056213,
18.png,0,0,0,0.11053466796875,21.562456330494427,2.9763654808539597,0.18379920721054077,
19.png,0,0,0,0.11053466796875,24.067848023472433,3.9074476771158406,0.09499908983707428,
20.png,0,0,0,0.11053466796875,25.755095315073287,3.593696994363939,0.059314437210559845,
21.png,0,0,0,0.11053466796875,22.36579967101848,3.4904047779582386,0.12674793601036072,
22.png,0,0,0,0.11053466796875,24.26649013525383,3.1113949320848944,0.1476893126964569,
23.png,0,0,0,0.11053466796875,25.883682802889282,4.610274127160285,0.07562476396560669,
24.png,0,0,0,0.11053466796875,21.973827106878467,2.5059699025181006,0.15687331557273865,
1.png,1e-06,0,0,0.11053466796875,21.53536887714334,3.65815135083376,0.1662185937166214,
2.png,1e-06,0,0,0.11053466796875,26.238193951266496,3.3268988386274634,0.14282147586345673,
3.png,1e-06,0,1,0.11053466796875,28.364971789834694,5.317292071658361,0.0816742479801178,
4.png,1e-06,0,0,0.11053466796875,27.283056740011244,3.574641361734898,0.1086709052324295,
5.png,1e-06,0,0,0.11053466796875,19.207736487636126,3.906130744236781,0.1576967090368271,
6.png,1e-06,0,0,0.11053466796875,22.49880820462465,3.279109700186587,0.13509540259838104,
7.png,1e-06,0,0,0.11053466796875,26.083274617517127,4.2861931324071865,0.07428762316703796,
8.png,1e-06,0,0,0.11053466796875,19.33204365161267,3.5525241600118225,0.1254713386297226,
9.png,1e-06,0,0,0.11053466796875,26.382094294594907,5.1759685661066435,0.06988231837749481,
10.png,1e-06,0,0,0.11053466796875,26.405881637202057,4.611962688312539,0.09046667814254761,
11.png,1e-06,0,0,0.11053466796875,22.395419359438975,2.6170691428882993,0.15334324538707733,
12.png,1e-06,0,0,0.11053466796875,26.93103248082275,3.8322047714678122,0.10592955350875854,
13.png,1e-06,0,0,0.11053466796875,18.314255101401244,2.5053792899957457,0.2760869860649109,
14.png,1e-06,0,0,0.11053466796875,21.01750424448901,2.757902163053209,0.1818617731332779,
15.png,1e-06,0,0,0.11053466796875,25.612706816392723,3.442548177319699,0.11453422158956528,
16.png,1e-06,0,0,0.11053466796875,25.714917105140735,3.664283360124985,0.11997811496257782,
17.png,1e-06,0,0,0.11053466796875,23.862372137589347,3.163720918344364,0.15324345231056213,
18.png,1e-06,0,0,0.11053466796875,21.562456330494427,2.9763654808539597,0.18379920721054077,
19.png,1e-06,0,0,0.11053466796875,24.067848023472433,3.9074476771158406,0.09499908983707428,
20.png,1e-06,0,0,0.11053466796875,25.755095315073287,3.593696994363939,0.059314437210559845,
21.png,1e-06,0,0,0.11053466796875,22.36579967101848,3.4904047779582386,0.12674793601036072,
22.png,1e-06,0,0,0.11053466796875,24.26649013525383,3.1113949320848944,0.1476893126964569,
23.png,1e-06,0,0,0.11053466796875,25.883682802889282,4.610274127160285,0.07562476396560669,
24.png,1e-06,0,0,0.11053466796875,21.973827106878467,2.5059699025181006,0.15687331557273865,
1.png,1e-06,1,0,0.11053466796875,21.53536887714334,3.65815135083376,0.1662185937166214,
2.png,1e-06,1,0,0.11053466796875,26.238193951266496,3.3268988386274634,0.14282147586345673,
3.png,1e-06,1,0,0.11053466796875,28.75320778786628,4.799138931924658,0.06894783675670624,
4.png,1e-06,1,0,0.11053466796875,27.283056740011244,3.574641361734898,0.1086709052324295,
5.png,1e-06,1,0,0.11053466796875,19.207736487636126,3.906130744236781,0.1576967090368271,
6.png,1e-06,1,0,0.11053466796875,22.49880820462465,3.279109700186587,0.13509540259838104,
7.png,1e-06,1,0,0.11053466796875,26.083274617517127,4.2861931324071865,0.07428762316703796,
8.png,1e-06,1,0,0.11053466796875,19.33204365161267,3.5525241600118225,0.1254713386297226,
9.png,1e-06,1,0,0.11053466796875,26.382094294594907,5.1759685661066435,0.06988231837749481,
10.png,1e-06,1,0,0.11053466796875,26.405881637202057,4.611962688312539,0.09046667814254761,
11.png,1e-06,1,0,0.11053466796875,22.395419359438975,2.6170691428882993,0.15334324538707733,
12.png,1e-06,1,0,0.11053466796875,26.93103248082275,3.8322047714678122,0.10592955350875854,
13.png,1e-06,1,0,0.11053466796875,18.314255101401244,2.5053792899957457,0.2760869860649109,
14.png,1e-06,1,0,0.11053466796875,21.01750424448901,2.757902163053209,0.1818617731332779,
15.png,1e-06,1,0,0.11053466796875,25.612706816392723,3.442548177319699,0.11453422158956528,
16.png,1e-06,1,0,0.11053466796875,25.714917105140735,3.664283360124985,0.11997811496257782,
17.png,1e-06,1,0,0.11053466796875,23.862372137589347,3.163720918344364,0.15324345231056213,
18.png,1e-06,1,0,0.11053466796875,21.562456330494427,2.9763654808539597,0.18379920721054077,
19.png,1e-06,1,1,0.11053466796875,23.30181575048346,3.816352439618439,0.11862844228744507,
20.png,1e-06,1,0,0.11053466796875,25.755095315073287,3.593696994363939,0.059314437210559845,
21.png,1e-06,1,0,0.11053466796875,22.36579967101848,3.4904047779582386,0.12674793601036072,
22.png,1e-06,1,0,0.11053466796875,24.26649013525383,3.1113949320848944,0.1476893126964569,
23.png,1e-06,1,0,0.11053466796875,25.883682802889282,4.610274127160285,0.07562476396560669,
24.png,1e-06,1,0,0.11053466796875,21.973827106878467,2.5059699025181006,0.15687331557273865,
1.png,1e-06,2,0,0.11053466796875,21.53536887714334,3.65815135083376,0.1662185937166214,
2.png,1e-06,2,0,0.11053466796875,26.238193951266496,3.3268988386274634,0.14282147586345673,
3.png,1e-06,2,0,0.11053466796875,28.75320778786628,4.799138931924658,0.06894783675670624,
4.png,1e-06,2,0,0.11053466796875,27.283056740011244,3.574641361734898,0.1086709052324295,
5.png,1e-06,2,0,0.11053466796875,19.207736487636126,3.906130744236781,0.1576967090368271,
6.png,1e-06,2,1,0.11053466796875,22.50501976380214,3.2807630347432446,0.1354409158229828,
7.png,1e-06,2,0,0.11053466796875,26.083274617517127,4.2861931324071865,0.07428762316703796,
8.png,1e-06,2,0,0.11053466796875,19.33204365161267,3.5525241600118225,0.1254713386297226,
9.png,1e-06,2,0,0.11053466796875,26.382094294594907,5.1759685661066435,0.06988231837749481,
10.png,1e-06,2,0,0.11053466796875,26.405881637202057,4.611962688312539,0.09046667814254761,
11.png,1e-06,2,0,0.11053466796875,22.395419359438975,2.6170691428882993,0.15334324538707733,
12.png,1e-06,2,0,0.11053466796875,26.93103248082275,3.8322047714678122,0.10592955350875854,
13.png,1e-06,2,0,0.11053466796875,18.314255101401244,2.5053792899957457,0.2760869860649109,
14.png,1e-06,2,0,0.11053466796875,21.01750424448901,2.757902163053209,0.1818617731332779,
15.png,1e-06,2,0,0.11053466796875,25.612706816392723,3.442548177319699,0.11453422158956528,
16.png,1e-06,2,0,0.11053466796875,25.714917105140735,3.664283360124985,0.11997811496257782,
17.png,1e-06,2,0,0.11053466796875,23.862372137589347,3.163720918344364,0.15324345231056213,
18.png,1e-06,2,0,0.11053466796875,21.562456330494427,2.9763654808539597,0.18379920721054077,
19.png,1e-06,2,0,0.11053466796875,24.067848023472433,3.9074476771158406,0.09499908983707428,
20.png,1e-06,2,0,0.11053466796875,25.755095315073287,3.593696994363939,0.059314437210559845,
21.png,1e-06,2,0,0.11053466796875,22.36579967101848,3.4904047779582386,0.12674793601036072,
22.png,1e-06,2,0,0.11053466796875,24.26649013525383,3.1113949320848944,0.1476893126964569,
23.png,1e-06,2,0,0.11053466796875,25.883682802889282,4.610274127160285,0.07562476396560669,
24.png,1e-06,2,0,0.11053466796875,21.973827106878467,2.5059699025181006,0.15687331557273865,
1.png,1e-06,3,0,0.11053466796875,21.53536887714334,3.65815135083376,0.1662185937166214,
2.png,1e-06,3,0,0.11053466796875,26.238193951266496,3.3268988386274634,0.14282147586345673,
3.png,1e-06,3,0,0.11053466796875,28.75320778786628,4.799138931924658,0.06894783675670624,
4.png,1e-06,3,0,0.11053466796875,27.283056740011244,3.574641361734898,0.1086709052324295,
5.png,1e-06,3,0,0.11053466796875,19.207736487636126,3.906130744236781,0.1576967090368271,
6.png,1e-06,3,0,0.11053466796875,22.49880820462465,3.279109700186587,0.13509540259838104,
7.png,1e-06,3,0,0.11053466796875,26.083274617517127,4.2861931324071865,0.07428762316703796,
8.png,1e-06,3,0,0.11053466796875,19.33204365161267,3.5525241600118225,0.1254713386297226,
9.png,1e-06,3,1,0.11053466796875,25.984431547299703,5.541377060910711,0.1034095287322998,
10.png,1e-06,3,0,0.11053466796875,26.405881637202057,4.611962688312539,0.09046667814254761,
11.png,1e-06,3,0,0.11053466796875,22.395419359438975,2.6170691428882993,0.15334324538707733,
12.png,1e-06,3,0,0.11053466796875,26.93103248082275,3.8322047714678122,0.10592955350875854,
13.png,1e-06,3,0,0.11053466796875,18.314255101401244,2.5053792899957457,0.2760869860649109,
14.png,1e-06,3,0,0.11053466796875,21.01750424448901,2.757902163053209,0.1818617731332779,
15.png,1e-06,3,0,0.11053466796875,25.612706816392723,3.442548177319699,0.11453422158956528,
16.png,1e-06,3,0,0.11053466796875,25.714917105140735,3.664283360124985,0.11997811496257782,
17.png,1e-06,3,0,0.11053466796875,23.862372137589347,3.163720918344364,0.15324345231056213,
18.png,1e-06,3,0,0.11053466796875,21.562456330494427,2.9763654808539597,0.18379920721054077,
19.png,1e-06,3,0,0.11053466796875,24.067848023472433,3.9074476771158406,0.09499908983707428,
20.png,1e-06,3,0,0.11053466796875,25.755095315073287,3.593696994363939,0.059314437210559845,
21.png,1e-06,3,0,0.11053466796875,22.36579967101848,3.4904047779582386,0.12674793601036072,
22.png,1e-06,3,0,0.11053466796875,24.26649013525383,3.1113949320848944,0.1476893126964569,
23.png,1e-06,3,0,0.11053466796875,25.883682802889282,4.610274127160285,0.07562476396560669,
24.png,1e-06,3,0,0.11053466796875,21.973827106878467,2.5059699025181006,0.15687331557273865,
1.png,1e-06,4,0,0.11053466796875,21.53536887714334,3.65815135083376,0.1662185937166214,
2.png,1e-06,4,0,0.11053466796875,26.238193951266496,3.3268988386274634,0.14282147586345673,
3.png,1e-06,4,0,0.11053466796875,28.75320778786628,4.799138931924658,0.06894783675670624,
4.png,1e-06,4,0,0.11053466796875,27.283056740011244,3.574641361734898,0.1086709052324295,
5.png,1e-06,4,0,0.11053466796875,19.207736487636126,3.906130744236781,0.1576967090368271,
6.png,1e-06,4,0,0.11053466796875,22.49880820462465,3.279109700186587,0.13509540259838104,
7.png,1e-06,4,0,0.11053466796875,26.083274617517127,4.2861931324071865,0.07428762316703796,
8.png,1e-06,4,0,0.11053466796875,19.33204365161267,3.5525241600118225,0.1254713386297226,
9.png,1e-06,4,0,0.11053466796875,26.382094294594907,5.1759685661066435,0.06988231837749481,
10.png,1e-06,4,0,0.11053466796875,26.405881637202057,4.611962688312539,0.09046667814254761,
11.png,1e-06,4,0,0.11053466796875,22.395419359438975,2.6170691428882993,0.15334324538707733,
12.png,1e-06,4,0,0.11053466796875,26.93103248082275,3.8322047714678122,0.10592955350875854,
13.png,1e-06,4,0,0.11053466796875,18.314255101401244,2.5053792899957457,0.2760869860649109,
14.png,1e-06,4,0,0.11053466796875,21.01750424448901,2.757902163053209,0.1818617731332779,
15.png,1e-06,4,1,0.11053466796875,22.188386373094907,4.212475999933799,0.27663302421569824,
16.png,1e-06,4,0,0.11053466796875,25.714917105140735,3.664283360124985,0.11997811496257782,
17.png,1e-06,4,0,0.11053466796875,23.862372137589347,3.163720918344364,0.15324345231056213,
18.png,1e-06,4,0,0.11053466796875,21.562456330494427,2.9763654808539597,0.18379920721054077,
19.png,1e-06,4,0,0.11053466796875,24.067848023472433,3.9074476771158406,0.09499908983707428,
20.png,1e-06,4,0,0.11053466796875,25.755095315073287,3.593696994363939,0.059314437210559845,
21.png,1e-06,4,0,0.11053466796875,22.36579967101848,3.4904047779582386,0.12674793601036072,
22.png,1e-06,4,0,0.11053466796875,24.26649013525383,3.1113949320848944,0.1476893126964569,
23.png,1e-06,4,0,0.11053466796875,25.883682802889282,4.610274127160285,0.07562476396560669,
24.png,1e-06,4,0,0.11053466796875,21.973827106878467,2.5059699025181006,0.15687331557273865,
