image_file,ber,trial,num_bit_flips,bpp,psnr,niqe,lpips,error
1.png,0,0,0,0.9984130859375,28.30280156832208,4.500729273645607,0.08361915498971939,
2.png,0,0,0,1.0001220703125,33.92593755048327,3.441803385991392,0.05557140335440636,
3.png,0,0,0,0.986480712890625,37.393901217727745,4.101552206176136,0.045724935829639435,
4.png,0,0,0,1.004302978515625,35.108103561795865,3.1295360933728724,0.06657351553440094,
5.png,0,0,0,0.993133544921875,26.56688030708882,3.7341045870984977,0.08416150510311127,
6.png,0,0,0,0.9989013671875,31.12041498835101,3.912306395093958,0.07725049555301666,
7.png,0,0,0,0.997955322265625,35.27987336730875,3.2956062326391664,0.02890501357614994,
8.png,0,0,0,0.991424560546875,26.792132125551596,4.021898523110707,0.06925976276397705,
9.png,0,0,0,0.987060546875,36.62998552656501,3.5018245751959407,0.07700513303279877,
10.png,0,0,0,0.992462158203125,35.94543763204378,3.492053191999749,0.07357632368803024,
11.png,0,0,0,1.0009765625,31.05511549114918,2.533018877421735,0.07549604028463364,
12.png,0,0,0,1.003204345703125,35.967309810931404,3.1786927260364393,0.04923852160573006,
13.png,0,0,0,0.98907470703125,25.274172246755725,3.443823089158462,0.20002707839012146,
14.png,0,0,0,1.003265380859375,28.730049903259655,2.699460681777869,0.1085439994931221,
15.png,0,0,0,1.003753662109375,33.15000263740193,3.8033659129945288,0.07511936128139496,
16.png,0,0,0,0.994903564453125,34.77476399084,3.424734098990607,0.07214593887329102,
17.png,0,0,0,0.994354248046875,33.609888520147294,3.0484775838902607,0.0701165571808815,
18.png,0,0,0,1.00262451171875,29.932733069806602,2.794424864206152,0.11401325464248657,
19.png,0,0,0,1.00457763671875,32.64070013457021,3.9449954268907024,0.08978597074747086,
20.png,0,0,0,0.98577880859375,35.77569650023479,3.1758588022082,0.025667281821370125,
21.png,0,0,0,0.997650146484375,31.89371342412336,2.8154102244273407,0.12748906016349792,
22.png,0,0,0,0.99578857421875,32.45581736822797,2.563933908478915,0.08022264391183853,
23.png,0,0,0,0.991973876953125,36.4409047994583,3.4010951327443792,0.04451049119234085,
24.png,0,0,0,1.00213623046875,30.415659398674446,3.784347138894203,0.07652992010116577,
1.png,1e-06,0,1,0.9984130859375,28.302453925952648,4.500729273645607,0.08362355828285217,
2.png,1e-06,0,0,1.0001220703125,33.92593755048327,3.441803385991392,0.05557140335440636,
3.png,1e-06,0,0,0.986480712890625,37.393901217727745,4.101552206176136,0.045724935829639435,
4.png,1e-06,0,0,1.004302978515625,35.108103561795865,3.1295360933728724,0.06657351553440094,
5.png,1e-06,0,1,0.993133544921875,20.337726069032904,3.710119012997841,0.1496453434228897,
6.png,1e-06,0,1,0.9989013671875,31.112344220996523,3.912306395093958,0.07819011062383652,
7.png,1e-06,0,0,0.997955322265625,35.27987336730875,3.2956062326391664,0.02890501357614994,
