,PSNR,LPIPS,FID,% Corrupted
JPEG,9.15 ± 2.54,0.7525 ± 0.1681,157.98 ± 24.56,0.83
BPG,10.43 ± 2.00,0.7502 ± 0.1083,120.03 ± 4.26,2.08
ILLM,17.43 ± 5.45,0.4167 ± 0.2196,75.05 ± 5.25,7.08
StableCodec,19.12 ± 4.81,0.3814 ± 0.2811,57.30 ± 6.82,0.42
DiffC,20.92 ± 4.18,0.2858 ± 0.1797,33.95 ± 1.74,0.87
DDCM,20.52 ± 3.70,0.3007 ± 0.1757,40.31 ± 6.17,0.00
Turbo-DDCM,21.68 ± 4.18,0.2492 ± 0.1805,31.35 ± 2.53,0.42
Robust Turbo-DDCM,24.05 ± 2.90,0.1485 ± 0.0656,27.46 ± 0.19,0.00
